Mt: 28;
Mk: 16;
Lk: 24;
Jn: 21;
Acs: 28;
Róm: 16;
1Kor: 16;
2Kor: 13;
Gal: 6;
Ef: 6;
Fil: 4;
Kol: 4;
1Tessz: 5;
2Tessz: 3;
1Tim: 6;
2Tim: 4;
Tit: 3;
Filem: 1;
Zsid: 13;
Jak: 5;
1Pt: 5;
2Pt: 3;
1Jn: 5;
2Jn: 1;
3Jn: 1;
Júd: 1;
Jel: 22;
